Date,UUP,FDN,IBB,IEZ,IGV,IHE,IHF,IHI,ITA,ITB,IYJ,IYT,IYW,IYZ,KBE,KCE,KIE,PBJ,PBS,SMH,VNQ
2021-06-01,23.96903419,225.7899933,150.1437073,15.34605217,356.7155457,175.2756958,264.0686951,55.5842247,109.245079,70.74507904,109.9040756,268.6685791,91.31560516,31.33400726,52.1737442,88.61795807,38.23610687,41.77520752,51.3361969,122.3561478,94.8806076
2021-06-02,23.96903419,226.6799927,150.3228149,16.43728256,357.3054504,175.3333588,262.4505005,55.30002213,109.3235092,69.59292603,109.6497498,266.4652405,91.65261841,31.5141468,51.70336533,88.6942749,38.2073822,42.4624176,51.21070099,123.0740891,95.99103546
2021-06-03,24.11772537,223.9299927,150.1238251,16.6732254,352.9161377,175.9002533,263.3332214,55.30662918,108.7941589,68.69677734,109.2976227,264.8956604,90.74075317,31.66584015,51.80685425,88.85644531,38.13077545,42.43338394,50.82457352,120.9694214,95.63643646
2021-06-04,24.02851105,227.8099976,152.2531281,16.78136635,360.5449829,175.9194336,262.2936401,55.7709465,109.696022,69.51412201,109.923645,263.7062683,92.57440186,31.93130875,51.78803635,88.9041214,38.2073822,42.50113678,51.46167755,123.6641846,95.68309784
2021-06-07,23.98886108,230.1999969,157.4867249,16.37829971,363.4045105,176.9956055,260.6851807,55.7709465,109.960701,69.17932892,109.0922241,263.0432739,92.90149689,31.85545731,51.91033554,88.66563416,37.95841217,42.65600204,52.06019211,123.0347519,96.81219482
2021-06-08,24.01859665,230.8899994,157.2877502,16.43728256,364.2344055,176.4382935,261.2932739,55.5643959,110.6763306,69.5732193,109.4639053,263.8720093,92.88165283,32.01662445,51.95736694,88.97090149,38.16908264,42.62696457,52.09880447,122.021759,97.61467743
2021-06-09,24.03842354,230.0700073,159.7055664,16.27015686,364.2743835,179.3208008,260.0379333,56.11298752,109.2941055,68.24378967,108.6129303,260.6254578,92.93121338,31.9881916,51.23299789,88.12193298,37.77647018,42.12364578,51.86712265,121.6431122,97.74530792
2021-06-10,24.01859665,233.3899994,162.4053497,16.0516758,370.6734314,182.8616943,260.7189941,57.15740585,109.1261902,66.50982666,108.4825897,258.6366272,93.74165344,32.25523758,50.21699142,87.95022583,37.51792526,42.01716995,51.693367,123.2314529,98.44515991
2021-06-11,24.13755035,234.4100037,161.3206482,16.1697731,374.4328308,181.1737366,260.2970276,57.19047546,109.5778732,67.17028809,108.8745804,261.3509216,94.25748444,32.23615265,50.47099686,88.79919434,37.77647018,42.17204285,51.93470001,123.6641846,98.05324554
2021-06-14,24.11772537,236.4400024,161.0519562,15.86468315,379.0621643,180.8650513,259.1979065,57.47824478,109.2341995,66.32252502,108.5217972,259.0076904,95.41809082,32.05495071,49.72780228,88.54164886,37.56580353,41.88167191,52.05053711,125.3361206,98.43582916
2021-06-15,24.13755035,234.2700043,158.6636658,16.2780304,373.7529602,180.29599,259.7376099,57.48817062,109.8037491,66.6576767,108.7961807,260.9701538,94.70387268,32.06448364,50.38632584,89.02813721,37.91053391,41.55257797,51.51959991,124.2542801,97.38139343
2021-06-16,24.33580589,233.5099945,157.5192566,16.2189827,371.6532593,180.1898804,258.1478271,57.40547562,108.7530289,65.62264252,107.7280121,258.2753906,94.30706787,31.85466385,50.8567009,89.45739746,37.62326431,41.11701965,51.55822372,123.2068634,96.74686432
2021-06-17,24.52414894,237.3500061,158.2855377,15.32339573,378.0823059,180.5660553,259.2861633,58.37794876,107.3782806,66.07608032,106.7284546,252.7004089,95.52722168,31.74022102,48.5612793,88.17916107,36.61780167,40.73952866,51.74163055,124.5985031,96.62554932
