Date,UUP,FDN,IBB,IEZ,IGV,IHE,IHF,IHI,ITA,ITB,IYJ,IYT,IYW,IYZ,KBE,KCE,KIE,PBJ,PBS,SMH,VNQ
2009-04-21,25.90999985,17.13999939,21.19333267,30.54000092,35,41.09000015,33.68000031,6.428332806,18.76499939,10.31000042,19.44499969,53.88000107,9.977499962,16.56999969,16.78000069,28.60000038,7.993332863,12.40999985,7.860000134,9.760000229,30.35000038
2009-04-22,25.84000015,17.31999969,21.14333344,30.82999992,35.16999817,40.59999847,33.54999924,6.43333292,19.01499939,10.5,19.66500092,54.68000031,10.00749969,16.62000084,16.01000023,28,7.706666946,12.42000008,7.880000114,10.07499981,29.29000092
2009-04-23,25.54999924,17.46999931,21.12666702,30.43000031,35.04999924,40.56999969,33.02000046,6.303332806,19.38999939,10.52999973,19.84499931,55.36999893,10.03250027,16.63999939,16.61000061,29.07999992,7.903333187,12.55000019,7.769999981,9.984999657,30.61000061
2009-04-24,25.35000038,17.80999947,21.50333214,31.95000076,36.20999908,40.93000031,33.15000153,6.403333187,19.70499992,11.18999958,20.29000092,55.95999908,10.26000023,16.79000092,17.07999992,28.78000069,7.940000057,12.64999962,7.949999809,10.125,32.06000137
2009-04-27,25.64999962,17.55999947,21.82999992,31,35.91999817,41.04999924,33.81000137,6.425000191,19.52499962,11.09000015,20.04000092,53.31999969,10.20750046,16.79999924,16.36000061,28.37000084,7.896667004,12.60999966,7.860000134,9.93500042,30.13999939
2009-04-28,25.48999977,17.37000084,22.29999924,30.57999992,35.56999969,40.93000031,34.61000061,6.496666908,19.36499977,11.05000019,19.84000015,53.38000107,10.13000011,16.81999969,15.86999989,28.01000023,7.829999924,12.64999962,7.809999943,9.81499958,30.54000092
2009-04-29,25.30999947,17.60000038,22.41666794,31.88999939,36.13999939,41.38000107,34.79999924,6.630000114,19.93000031,11.38000011,20.42499924,55.52999878,10.33749962,17.11000061,16.61000061,29.06999969,8.176667213,12.77000046,8.199999809,9.949999809,31.87000084
2009-04-30,25.34000015,17.93000031,21.82999992,31.11000061,36.45000076,41.11000061,34.84999847,6.633333206,19.71500015,11.21000004,20.53499985,56.20000076,10.40250015,17.21999931,16.32999992,29.04000092,8.119999886,12.73999977,8.25,10.23499966,31.72999954
2009-05-01,25.28000069,18.17000008,21.53333282,32.09999847,36.52999878,41.04000092,34.70999908,6.631667137,20.01499939,10.92000008,20.76499939,56.25999832,10.46749973,17.59000015,16.04000092,29.20000076,7.976666927,12.75,8.300000191,10.19499969,30.69000053
2009-05-04,25.04999924,18.59000015,21.78666687,34.04999924,36.95999908,41.88000107,35.29999924,6.789999962,20.39500046,11.77000046,21.44000053,60.15000153,10.64249992,18.17000008,18.37000084,30.93000031,8.426667213,13.06000042,8.489999771,10.68500042,33.22000122
2009-05-05,25.12999916,18.89999962,21.67666626,33.93999863,36.95999908,42.47999954,36.38000107,6.818333149,20.48500061,11.72000027,21.45999908,59.54000092,10.61999989,18.26000023,18.04999924,30.59000015,8.43999958,12.94999981,8.510000229,10.47500038,31.97999954
2009-05-06,25.07999992,18.60000038,21.44333267,35.31000137,36.79000092,42.15999985,36.22999954,6.78666687,20.65999985,11.38000011,21.78499985,60.06000137,10.61750031,18.47999954,20.02000046,31.53000069,9.056667328,12.86999989,8.640000343,10.57999992,33.20000076
2009-05-07,25.07999992,18.12999916,21.72999954,34.18000031,35.63999939,42.95000076,37.70999908,6.921667099,20.38999939,10.82999992,21.36000061,59.13999939,10.27999973,18.03000069,19.53000069,30.15999985,8.983332634,12.84000015,8.5,10.06999969,31.29999924
2009-05-08,24.62999916,18.51000023,21.88666725,35.99000168,35.81000137,43.38000107,38.43999863,7.054999828,21.25499916,11.30000019,22.02000046,59.97999954,10.23750019,18.35000038,21.62000084,31.84000015,9.683333397,12.98999977,8.670000076,9.864999771,33.38999939
2009-05-11,24.76000023,18.43000031,22.05333328,34.54000092,36.09999847,43.33000183,37.49000168,6.965000153,20.73999977,10.93000031,21.46500015,57.68000031,10.24250031,18.20000076,20.28000069,30.42000008,9.073332787,12.94999981,8.739999771,9.899999619,32.11999893
